2025-09-06 19:54:30 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for f3b42e350a7b8b57b6e7deba20601996. HTTP 404
2025-09-06 19:54:40 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for ebd804e7b234207026da73df06cd1996. HTTP 404
2025-09-06 19:54:40 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for f3b42e350a7b8b57b6e7deba20601996. HTTP 404
2025-09-06 19:54:50 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for f3b42e350a7b8b57b6e7deba20601996. HTTP 404
2025-09-06 19:54:50 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for ebd804e7b234207026da73df06cd1996. HTTP 404
2025-09-06 19:55:01 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for f3b42e350a7b8b57b6e7deba20601996. HTTP 404
2025-09-06 19:55:11 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for f3b42e350a7b8b57b6e7deba20601996. HTTP 404
2025-09-06 19:55:22 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for f3b42e350a7b8b57b6e7deba20601996. HTTP 404
2025-09-06 19:59:30 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for e5755b754d8af91f52c59d805e4e1996. HTTP 404
2025-09-06 19:59:41 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for e5755b754d8af91f52c59d805e4e1996. HTTP 404
2025-09-06 19:59:51 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for e5755b754d8af91f52c59d805e4e1996. HTTP 404
2025-09-06 20:00:01 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for e5755b754d8af91f52c59d805e4e1996. HTTP 404
2025-09-06 20:00:12 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for e5755b754d8af91f52c59d805e4e1996. HTTP 404
2025-09-06 20:00:22 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for e5755b754d8af91f52c59d805e4e1996. HTTP 404
2025-09-06 20:00:33 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for e5755b754d8af91f52c59d805e4e1996. HTTP 404
2025-09-06 20:00:43 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for e5755b754d8af91f52c59d805e4e1996. HTTP 404
2025-09-06 20:00:54 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for e5755b754d8af91f52c59d805e4e1996. HTTP 404
2025-09-06 20:01:04 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for e5755b754d8af91f52c59d805e4e1996. HTTP 404
2025-09-06 20:01:15 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for e5755b754d8af91f52c59d805e4e1996. HTTP 404
2025-09-06 20:01:25 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for e5755b754d8af91f52c59d805e4e1996. HTTP 404
2025-09-06 20:01:35 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for e5755b754d8af91f52c59d805e4e1996. HTTP 404
2025-09-06 20:01:46 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for e5755b754d8af91f52c59d805e4e1996. HTTP 404
2025-09-06 20:01:56 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for e5755b754d8af91f52c59d805e4e1996. HTTP 404
2025-09-06 20:02:07 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for e5755b754d8af91f52c59d805e4e1996. HTTP 404
2025-09-06 20:02:17 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for e5755b754d8af91f52c59d805e4e1996. HTTP 404
2025-09-06 20:02:28 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for e5755b754d8af91f52c59d805e4e1996. HTTP 404
2025-09-06 20:02:38 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for e5755b754d8af91f52c59d805e4e1996. HTTP 404
2025-09-06 20:02:49 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1925 | ⚠️ [POLL] Failed to fetch status for e5755b754d8af91f52c59d805e4e1996. HTTP 404
2025-09-06 21:01:59 | ERROR    | voice_assistant.errors | poll_exotel_call_status:1990 | ⚠️ [POLL] Failed to fetch status for 8fbff72f5ff2cc2b484b0da4b16c1996. HTTP 404
